"GEOID","OBJECTID","DTH_CUM_CP","population"
"55029100900",2653129,4,1589
"55029101000",2106512,7,2184
"55031020300",2565648,1,2692
"55031020400",2027290,14,3255
"55031020500",2480883,0,2768
"55031020600",1944828,0,4293
"55031020700",2390749,25,4122
"55031020800",2865401,4,3311
"55031020900",2305158,0,2260
"55031021000",2778833,0,1855
"55031021100",2222262,1,2361
"55031030100",2692290,18,5948
"55031030200",2141172,4,5236
"55031030300",2600910,2,5194
"55031990000",2059788,0,0
"55033970100",2514465,8,3864
"55033970200",1976569,9,4633
"55033970300",2430008,4,5991
"55033970400",2903743,5,6401
"55033970500",2344277,19,6288
"55033970600",2813850,3,4059
"55033970700",2254521,12,7093
"55033970800",2727559,5,6430
"55035000100",2173025,12,4802
"55035000200",2640589,8,5129
"55035000301",2094798,2,3700
"55035000302",2552765,5,7723
"55035000400",2010942,33,8007
"55035000501",2464164,5,4567
"55035000502",1929173,7,4887
"55035000600",2377761,11,4323
"55035000700",2852854,4,5466
"55035000801",2292611,0,3711
"55035000802",2766111,6,3888
"55035000803",2206866,8,5936
"55035000900",2675123,7,5152
"55035001101",2126049,3,2035
"55035001200",2587733,4,5970
"55035001300",2048179,18,5743
"55035001400",2502149,21,7447
"55035001500",1964813,2,3631
"55035001600",2412981,8,5924
"55035001700",2886793,1,5473
"55037190100",2327229,9,2484
"55037190200",2800869,4,1830
"55039040100",2242079,9,4197
"55039040200",2714732,8,3282
"55039040300",2098941,11,5250
"55039040400",2552946,6,2652
"55039040500",1949131,8,4043
"55039040700",2399980,7,5245
"55039040800",2874191,1,4201
"55039040900",2246293,14,3343
"55039041000",2719205,9,2962
"55039041100",2102959,19,10095
"55039041300",2557370,21,6675
"55039041400",1952988,9,5790
"55039041500",2404453,7,3181
"55039041600",2878447,20,5947
"55039041700",2250570,4,3931
"55039041800",2727885,8,4891
"55039041900",2110925,11,7128
"55039042000",2566148,26,8873
"55039042100",1960968,8,4820
"55039042200",2413168,14,6091
"55041950100",2886952,5,1300
"55041950200",2259054,18,2334
"55041950300",2732218,13,2621
"55041950400",2114824,6,2740
"55043960100",2570551,21,3768
"55043960200",1965007,13,4257
"55043960300",2417494,14,4272
"55043960400",2891222,4,3309
"55043960500",2263324,4,3550
"55043960600",2736544,24,3535
"55043960700",2118653,9,3923
"55043960800",2574975,1,2792
"55043960900",1969018,3,5209
"55043961000",2421862,8,8219
"55043961100",2895548,14,4632
"55043961200",2267594,13,4267
"55045960100",2740849,3,6647
"55045960200",2122559,3,5659
"55045960300",2579399,9,4949
"55045960400",1973057,12,4238
"55045960500",2426216,8,3922
"55045960600",2899944,3,3363
"55045960700",2271864,4,3966
"55045960800",2745189,3,4152
"55047100100",2126430,6,3346
"55047100200",2583711,10,2861
"55047100300",1977103,5,2913
"55047100400",2430591,5,2693
"55047100500",2904389,6,3105
"55047100600",2276162,22,3837
"55049950100",2749557,0,3782
"55049950200",2130301,1,3166
"55049950300",2588184,1,3353
"55049950400",1981135,12,5137
"55049950500",2434973,2,4834
"55049950600",2908820,7,3346
"55051180100",2280432,39,2349
"55051180200",2753883,1,1429
"55051180300",2134172,2,1909
"55053960100",2592748,10,3910
"55053960200",1985440,7,3478
"55053960300",2439334,3,4157
"55053960400",2913237,3,4341
"55053960500",2284723,18,4636
"55055100100",2758146,11,6197
"55055100200",2138057,6,3222
"55055100300",2597284,8,6441
"55055100400",1989836,12,5904
"55055100500",2443723,21,6533
"55055100601",2917675,2,1606
"55055100602",2289014,2,3291
"55055100700",2762479,9,4623
"55055100800",2141949,10,4316
"55055100900",2601841,7,3808
"55055101000",1994253,10,3799
"55055101100",2448007,31,4606
"55055101201",2922120,3,2098
"55055101202",2293298,2,1601
"55055101300",2766840,14,6244
"55055101400",2145806,6,3319
"55055101500",2606398,17,3837
"55055101600",1998656,12,6653
"55055101701",2452270,5,1531
"55055101702",2926572,10,5072
"55057100100",2297624,8,2816
"55057100200",2771215,6,3610
"55057100300",2149845,7,3542
"55057100400",2610913,11,4974
"55057100500",2007434,10,4235
"55057100600",2460831,10,3324
"55057100700",1858143,9,3977
"55059000100",2306171,3,6106
"55059000300",2779888,20,4766
"55059000400",2819402,8,3428
"55059000500",1937057,24,5094
"55059000601",2099674,17,6159
"55059000602",2476455,49,7575
"55059000700",1953406,21,5381
"55059000800",1858891,6,2874
"55059000900",1858981,8,3900
"55059001000",2565638,7,2338
"55059001100",2346859,24,3324
"55059001200",2471570,3,4330
"55059001300",2258111,7,4420
"55059001400",2090586,33,6648
"55059001500",2857908,9,3444
"55059001600",2639888,1,3390
"55059001700",2189423,8,2662
"55059001800",2924657,3,2144
"55059001900",2675473,7,2809
"55059002000",2771274,13,5711
"55059002100",2382248,31,5072
"55059002200",1881739,5,3399
"55059002300",2226517,27,6031
"55059002400",2555411,11,4885
"55059002500",2042114,9,3315
"55059002601",2161253,21,9262
"55059002602",1959560,39,9707
"55059002700",2926726,12,6674
"55059002800",2536009,9,6601
"55059002903",2190957,8,2943
"55059002904",2379669,7,5779
"55059002905",2571433,7,3899
"55059002906",1907047,8,5105
"55059003001",2731605,7,4386
"55059003002",2127462,6,4963
"55059990000",2366196,0,0
"55061960100",1874003,11,3093
"55061960200",1902051,6,2448
"55061960400",1890773,17,8768
"55061960500",1911240,17,6078
"55063000100",2805364,3,4714
"55063000200",2182573,3,4882
"55063000300",2270121,6,2345
"55063000400",2331384,3,6377
"55063000500",2221749,2,4516
"55063000600",2687563,1,2245
"55063000700",2610674,1,4402
"55063000800",2257453,0,3434
"55063000900",2659882,9,3497
"55063001000",2513581,14,3717
"55063001101",2472882,0,2037
"55063001102",1904564,16,3988
"55063001200",2116867,2,4026
"55063010101",2720693,5,5474
"55063010102",2812539,19,4817
"55063010201",2562974,12,10155
"55063010202",2585177,6,6915
"55063010203",2373895,1,2280
"55063010300",2849534,2,4449
"55063010401",2555263,3,5747
"55063010402",2828122,10,9288
"55063010500",2850336,14,6176
"55063010600",2529129,5,3576
"55063010700",2319261,11,5665
"55063010800",2481513,2,3172
"55065970100",2920724,1,2967
"55065970200",2320245,7,3863
"55065970300",2517049,1,3638
"55065970400",2762125,3,3125
"55065970500",2614753,5,3122
"55067960100",2435573,5,2590
"55067960300",1933104,5,2458
"55067960400",2056395,10,3848
"55067960500",2268060,2,1798
"55067960600",2160147,12,4648
"55067960700",1991424,33,3804
"55069960100",2864909,6,2372
"55069960200",2108064,40,2510
"55069960300",2438085,3,1702
"55069960400",2586204,3,1721
"55069960500",2690405,16,1718
"55069960600",2548479,10,4297
"55069960700",1882854,5,3809
