"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"891","Newham, 00BB (891)","188","Haringey, 00AP (188)","1/6/2019 - 31/8/2019, Every day, Daily Average",2523,2136,2978
"891","Newham, 00BB (891)","201","Islington, 00AU (201)","1/6/2019 - 31/8/2019, Every day, Daily Average",2098,1758,2503
"891","Newham, 00BB (891)","202","Islington, 00AU (202)","1/6/2019 - 31/8/2019, Every day, Daily Average",2366,2013,2780
"891","Newham, 00BB (891)","203","Islington, 00AU (203)","1/6/2019 - 31/8/2019, Every day, Daily Average",2020,1710,2385
"891","Newham, 00BB (891)","204","Islington, 00AU (204)","1/6/2019 - 31/8/2019, Every day, Daily Average",2410,1979,2933
"891","Newham, 00BB (891)","205","Kensington and Chelsea, 00AW (205)","1/6/2019 - 31/8/2019, Every day, Daily Average",3577,2834,4514
"891","Newham, 00BB (891)","206","Kensington and Chelsea, 00AW (206)","1/6/2019 - 31/8/2019, Every day, Daily Average",3509,2795,4405
"891","Newham, 00BB (891)","207","Kensington and Chelsea, 00AW (207)","1/6/2019 - 31/8/2019, Every day, Daily Average",3567,2820,4510
"891","Newham, 00BB (891)","208","Kensington and Chelsea, 00AW (208)","1/6/2019 - 31/8/2019, Every day, Daily Average",3768,3009,4717
"891","Newham, 00BB (891)","209","Kensington and Chelsea, 00AW (209)","1/6/2019 - 31/8/2019, Every day, Daily Average",3229,2548,4091
"891","Newham, 00BB (891)","210","Kensington and Chelsea, 00AW (210)","1/6/2019 - 31/8/2019, Every day, Daily Average",2822,2162,3682
"891","Newham, 00BB (891)","211","Kensington and Chelsea, 00AW (211)","1/6/2019 - 31/8/2019, Every day, Daily Average",3254,2450,4321
"891","Newham, 00BB (891)","212","Kensington and Chelsea, 00AW (212)","1/6/2019 - 31/8/2019, Every day, Daily Average",2986,2272,3923
"891","Newham, 00BB (891)","213","Kensington and Chelsea, 00AW (213)","1/6/2019 - 31/8/2019, Every day, Daily Average",3170,2422,4147
"891","Newham, 00BB (891)","214","Kensington and Chelsea, 00AW (214)","1/6/2019 - 31/8/2019, Every day, Daily Average",2941,2330,3711
"891","Newham, 00BB (891)","215","Kensington and Chelsea, 00AW (215)","1/6/2019 - 31/8/2019, Every day, Daily Average",3239,2562,4094
"891","Newham, 00BB (891)","230","Lambeth, 00AY (230)","1/6/2019 - 31/8/2019, Every day, Daily Average",2178,1717,2761
"891","Newham, 00BB (891)","231","Lambeth, 00AY (231)","1/6/2019 - 31/8/2019, Every day, Daily Average",2473,1997,3061
"891","Newham, 00BB (891)","232","Lambeth, 00AY (232)","1/6/2019 - 31/8/2019, Every day, Daily Average",2249,1842,2745
"891","Newham, 00BB (891)","233","Lambeth, 00AY (233)","1/6/2019 - 31/8/2019, Every day, Daily Average",2596,2158,3122
